Time,Thermister,Potentiometer
0,454 ,0
1,454 ,0
2,454 ,0
3,454 ,0
4,455 ,0
5,454 ,0
6,454 ,0
7,455 ,0
8,454 ,0
9,455 ,0
10,455 ,0
11,455 ,0
12,454 ,0
13,455 ,0
14,455 ,0
15,455 ,0
16,455 ,28
17,455 ,76
18,454 ,111
19,454 ,136
20,454 ,165
21,455 ,197
22,455 ,226
23,455 ,294
24,454 ,349
25,455 ,410
26,454 ,451
27,455 ,498
28,455 ,523
29,455 ,524
30,455 ,525
31,455 ,525
32,455 ,525
33,456 ,525
34,455 ,525
35,456 ,525
36,455 ,525
37,455 ,525
38,456 ,525
39,456 ,524
40,456 ,525
41,456 ,524
42,456 ,525
43,456 ,525
44,456 ,524
45,456 ,525
46,456 ,525
47,456 ,525
48,456 ,525
49,456 ,525
50,457 ,525
51,456 ,525
52,457 ,525
53,457 ,525
54,457 ,525
55,457 ,525
56,457 ,524
57,457 ,525
58,457 ,525
59,457 ,524
60,458 ,525
61,457 ,524
62,457 ,525
63,458 ,525
64,458 ,525
65,458 ,525
66,458 ,525
67,458 ,525
68,458 ,525
69,458 ,525
70,458 ,525
71,458 ,525
72,458 ,525
73,459 ,525
74,458 ,525
75,458 ,525
76,459 ,524
77,459 ,525
78,459 ,525
79,459 ,524
80,459 ,525
81,458 ,525
82,459 ,525
83,459 ,525
84,459 ,525
85,459 ,525
86,459 ,525
87,459 ,525
88,460 ,525
89,459 ,525
90,459 ,525
91,459 ,525
92,459 ,525
93,460 ,525
94,459 ,525
95,460 ,525
96,459 ,525
97,460 ,525
98,460 ,525
99,459 ,525
100,460 ,525
101,460 ,524
102,460 ,525
103,460 ,525
104,460 ,525
105,460 ,525
106,460 ,524
107,460 ,525
108,460 ,525
109,460 ,525
110,460 ,525
111,460 ,525
112,460 ,525
113,461 ,525
114,460 ,525
115,461 ,525
116,460 ,525
117,461 ,525
118,461 ,525
119,461 ,525
120,461 ,525
121,460 ,525
122,461 ,525
123,461 ,525
124,461 ,524
125,462 ,525
126,461 ,525
127,462 ,525
128,462 ,525
129,461 ,525
130,462 ,525
131,461 ,525
132,462 ,525
133,462 ,525
134,462 ,525
135,462 ,525
136,462 ,524
137,462 ,525
138,463 ,525
139,462 ,525
140,462 ,525
141,462 ,524
142,462 ,525
143,462 ,525
144,462 ,525
145,462 ,525
146,463 ,525
147,463 ,525
148,463 ,525
149,462 ,525
150,463 ,525
151,462 ,525
152,463 ,525
153,463 ,525
154,462 ,525
155,463 ,525
156,463 ,525
157,463 ,525
158,463 ,524
159,463 ,525
160,463 ,525
161,463 ,524
162,463 ,525
163,463 ,524
164,463 ,524
165,463 ,525
166,464 ,525
167,464 ,525
168,463 ,525
169,463 ,525
170,464 ,525
171,463 ,525
172,464 ,525
173,464 ,524
174,464 ,525
175,464 ,525
176,464 ,525
177,464 ,525
178,464 ,525
179,464 ,524
180,464 ,525
181,464 ,524
182,464 ,525
183,464 ,525
184,464 ,525
185,465 ,525
186,464 ,525
187,465 ,525
188,465 ,525
189,464 ,525
190,465 ,525
191,465 ,525
192,465 ,525
193,465 ,525
194,465 ,524
195,465 ,525
196,465 ,525
197,465 ,525
198,465 ,525
199,465 ,524
200,465 ,525
201,465 ,525
202,465 ,525
203,465 ,524
204,465 ,525
205,465 ,525
206,465 ,525
207,465 ,525
208,466 ,524
209,465 ,525
210,465 ,525
211,465 ,525
212,466 ,525
213,466 ,525
214,465 ,525
215,466 ,525
216,466 ,524
217,466 ,525
218,466 ,524
219,465 ,525
220,466 ,525
221,466 ,524
222,466 ,525
223,466 ,524
224,466 ,525
225,466 ,525
226,466 ,524
227,466 ,525
228,467 ,524
229,466 ,525
230,466 ,525
231,466 ,524
232,467 ,525
233,466 ,525
234,466 ,525
235,466 ,525
236,466 ,525
237,467 ,525
238,467 ,525
239,466 ,525
240,467 ,525
241,467 ,525
242,467 ,525
243,466 ,525
244,467 ,524
245,467 ,525
246,466 ,525
247,467 ,525
248,467 ,525
249,467 ,525
250,467 ,525
251,467 ,524
252,467 ,525
253,467 ,524
254,467 ,524
255,467 ,525
256,467 ,525
257,467 ,525
258,467 ,525
259,467 ,525
260,468 ,525
261,467 ,525
262,467 ,525
263,467 ,524
264,468 ,524
265,468 ,525
266,467 ,524
267,468 ,525
268,467 ,525
269,467 ,525
270,468 ,525
271,467 ,524
272,468 ,525
273,467 ,524
274,467 ,525
275,468 ,525
276,468 ,525
277,468 ,525
278,467 ,525
279,468 ,525
280,468 ,525
281,467 ,525
282,468 ,525
283,468 ,524
284,468 ,525
285,468 ,525
286,468 ,524
287,468 ,525
288,468 ,524
289,468 ,525
290,468 ,525
291,468 ,525
292,468 ,525
293,468 ,524
294,468 ,525
295,468 ,525
296,468 ,525
297,468 ,525
298,468 ,524
299,468 ,525
300,468 ,525
301,468 ,524
302,469 ,525
303,468 ,524
304,468 ,525
305,469 ,525
306,468 ,525
307,469 ,525
308,468 ,525
309,469 ,524
310,469 ,525
311,468 ,525
312,469 ,525
313,468 ,525
314,468 ,524
315,468 ,525
316,468 ,524
317,469 ,525
318,468 ,525
319,468 ,524
320,469 ,525
321,468 ,524
322,468 ,525
323,468 ,525
324,468 ,524
325,469 ,525
326,468 ,525
327,469 ,525
328,468 ,524
329,468 ,525
330,469 ,525
331,468 ,525
332,469 ,525
333,468 ,524
334,468 ,525
335,469 ,525
336,468 ,525
337,469 ,525
338,469 ,524
339,469 ,525
340,469 ,525
341,468 ,524
342,469 ,525
343,469 ,525
344,468 ,525
345,469 ,525
346,469 ,524
347,469 ,525
348,469 ,525
349,469 ,525
350,469 ,525
351,469 ,524
352,469 ,525
353,469 ,524
354,469 ,525
355,469 ,525
356,469 ,525
357,469 ,525
358,469 ,524
359,469 ,525
360,469 ,525
361,469 ,524
362,469 ,525
363,469 ,525
364,469 ,525
365,469 ,525
366,469 ,524
367,469 ,525
368,469 ,525
369,469 ,525
370,470 ,525
371,469 ,525
372,469 ,525
373,469 ,525
374,469 ,525
375,470 ,525
376,469 ,525
377,470 ,525
378,469 ,524
379,469 ,525
380,469 ,525
381,469 ,524
382,470 ,525
383,469 ,525
384,469 ,525
385,470 ,525
386,470 ,524
387,470 ,525
388,469 ,525
389,469 ,525
390,470 ,525
391,469 ,525
392,470 ,525
393,469 ,524
394,470 ,525
395,470 ,525
396,469 ,525
397,470 ,525
398,470 ,525
399,470 ,525
400,470 ,525
401,469 ,525
402,470 ,525
403,470 ,525
404,469 ,525
405,470 ,525
406,469 ,524
407,470 ,525
408,469 ,525
409,469 ,525
410,470 ,525
411,470 ,524
412,470 ,525
413,470 ,525
414,469 ,525
415,470 ,525
416,470 ,524
417,470 ,525
418,470 ,524
419,471 ,525
420,470 ,525
421,469 ,525
422,470 ,525
423,470 ,525
424,470 ,525
425,470 ,525
426,470 ,524
427,470 ,525
428,470 ,525
429,470 ,525
430,470 ,525
