Time,Brightness
2825,9
2826,9
2827,9
2828,8
2829,8
2830,9
2831,9
2832,9
2833,9
2834,9
2835,9
2836,9
2837,9
2838,9
2839,9
2840,9
2841,9
2842,9
2843,9
2844,9
2845,9
2846,9
2847,9
2848,9
2849,8
2850,9
2851,9
2852,9
2853,9
2854,9
2855,9
2856,9
2857,9
2858,9
2859,9
2860,10
2861,17
2862,27
2863,40
2864,55
2865,73
2866,93
2867,115
2868,138
2869,162
2870,186
2871,210
2872,234
2873,256
2874,278
2875,298
2876,317
2877,341
2878,367
2879,393
2880,416
2881,438
2882,456
2883,473
2884,488
2885,501
2886,513
2887,523
2888,532
2889,540
2890,547
2891,554
2892,559
2893,564
2894,569
2895,573
2896,577
2897,581
2898,584
2899,586
2900,589
2901,592
2902,594
2903,596
2904,598
2905,600
2906,601
2907,603
2908,604
2909,606
2910,607
2911,608
2912,609
2913,610
2914,611
2915,612
2916,613
2917,614
2918,614
2919,615
2920,616
2921,617
2922,617
2923,618
2924,618
2925,619
2926,620
2927,620
2928,621
2929,621
2930,621
2931,622
2932,622
2933,623
2934,623
2935,623
2936,624
2937,624
2938,624
2939,625
2940,625
2941,625
2942,626
2943,626
2944,627
2945,627
2946,627
2947,627
2948,627
2949,628
2950,628
2951,628
2952,628
2953,628
2954,629
2955,629
2956,629
2957,630
2958,630
2959,630
2960,630
2961,630
2962,631
2963,631
2964,631
2965,631
2966,632
2967,632
2968,632
2969,632
2970,632
2971,632
2972,633
2973,633
2974,633
2975,633
2976,633
2977,632
2978,629
2979,626
2980,622
2981,619
2982,614
2983,611
2984,607
2985,603
2986,600
2987,597
2988,594
2989,591
2990,588
2991,586
2992,584
2993,582
2994,580
2995,578
2996,577
2997,575
2998,573
2999,572
3000,571
3001,570
3002,569
3003,568
3004,567
3005,566
3006,566
3007,565
3008,564
3009,564
3010,562
3011,556
3012,548
3013,539
3014,530
3015,520
3016,511
3017,502
3018,493
3019,484
3020,476
3021,467
3022,460
3023,452
3024,445
3025,439
3026,433
3027,427
3028,421
3029,415
3030,409
3031,405
3032,400
3033,396
3034,392
3035,388
3036,384
3037,380
3038,378
3039,374
3040,371
3041,369
3042,366
3043,363
3044,354
3045,343
3046,330
3047,317
3048,304
3049,291
3050,278
3051,266
3052,254
3053,243
3054,232
3055,222
3056,213
3057,204
3058,196
3059,187
3060,180
3061,173
3062,166
3063,160
3064,154
3065,149
3066,144
3067,140
3068,135
3069,131
3070,127
3071,124
3072,120
3073,118
3074,114
3075,111
3076,109
3077,105
3078,101
3079,95
3080,91
3081,86
3082,82
3083,78
3084,73
3085,70
3086,66
3087,64
3088,61
3089,58
3090,55
3091,54
3092,52
