Time ,Thermistor,Potentiometer,
0,468,0,
1,468,1,
2,468,2,
3,468,2,
4,468,4,
5,468,5,
6,468,7,
7,468,9,
8,468,10,
9,468,12,
10,468,13,
11,468,14,
12,468,14,
13,468,14,
14,468,15,
15,468,15,
16,468,16,
17,468,16,
18,468,16,
19,468,16,
20,468,18,
21,468,20,
22,468,21,
23,468,23,
24,468,24,
25,468,24,
26,468,24,
27,468,25,
28,468,25,
29,468,25,
30,468,26,
31,468,29,
32,468,30,
33,468,32,
34,468,34,
35,468,38,
36,468,40,
37,468,45,
38,468,48,
39,468,53,
40,468,55,
41,468,58,
42,468,59,
43,468,60,
44,468,61,
45,468,63,
46,468,64,
47,468,66,
48,468,65,
49,468,67,
50,468,67,
51,468,68,
52,468,68,
53,467,69,
54,468,72,
55,468,76,
56,468,80,
57,468,85,
58,468,86,
59,468,89,
60,468,92,
61,468,96,
62,468,98,
63,468,105,
64,468,110,
65,468,110,
66,468,110,
67,468,110,
68,468,110,
69,468,110,
70,468,111,
71,469,110,
72,468,111,
73,468,111,
74,468,111,
75,468,116,
76,468,122,
77,468,127,
78,468,133,
79,468,139,
80,468,144,
81,468,149,
82,468,153,
83,468,157,
84,468,161,
85,468,168,
86,468,170,
87,468,174,
88,468,179,
89,468,181,
90,468,183,
91,468,187,
92,468,191,
93,468,193,
94,468,195,
95,468,197,
96,468,199,
97,468,202,
98,468,205,
99,468,207,
100,468,210,
101,468,214,
102,468,216,
103,468,218,
104,468,221,
105,468,223,
106,468,226,
107,468,229,
108,468,234,
109,468,237,
110,468,241,
111,468,245,
112,468,248,
113,468,253,
114,468,256,
115,468,261,
116,468,265,
117,468,272,
118,468,279,
119,468,285,
120,468,292,
121,468,299,
122,468,306,
123,468,311,
124,468,318,
125,469,325,
126,468,330,
127,468,336,
128,468,342,
129,468,349,
130,468,353,
131,468,356,
132,468,358,
133,468,362,
134,468,366,
135,469,368,
136,468,370,
137,468,370,
138,468,371,
139,469,372,
140,468,372,
141,468,373,
142,468,376,
143,468,379,
144,468,385,
145,468,392,
146,469,399,
147,468,405,
148,468,412,
149,469,419,
150,468,425,
151,468,427,
152,469,432,
153,469,436,
154,468,437,
155,468,438,
156,468,438,
157,468,437,
158,468,437,
159,469,438,
160,469,437,
161,468,437,
162,469,438,
163,469,438,
164,468,437,
165,468,437,
166,468,438,
167,469,437,
168,468,437,
169,469,438,
170,468,438,
171,469,437,
172,469,438,
173,469,438,
174,468,437,
175,468,437,
176,468,438,
177,469,437,
178,468,437,
179,469,438,
180,469,437,
181,468,437,
182,468,437,
183,468,438,
184,468,437,
185,469,437,
186,468,438,
187,469,437,
188,468,438,
189,468,438,
190,469,438,
191,469,437,
192,468,438,
193,469,437,
194,469,437,
195,468,438,
196,469,438,
197,469,437,
198,468,437,
199,468,437,
200,469,438,
201,469,437,
202,468,437,
203,469,437,
204,469,437,
205,468,437,
206,468,438,
207,469,437,
208,469,437,
209,468,437,
210,469,438,
211,469,437,
212,468,437,
213,469,437,
214,469,438,
215,469,437,
216,469,437,
217,469,438,
218,468,437,
219,469,437,
220,469,437,
221,469,438,
222,468,437,
223,469,437,
224,469,438,
225,468,437,
226,469,437,
227,469,438,
228,469,438,
229,469,437,
230,469,438,
231,469,438,
232,469,437,
233,469,437,
234,469,438,
235,469,437,
236,469,437,
237,469,437,
238,469,438,
239,469,437,
240,469,438,
241,469,438,
242,469,437,
243,469,437,
244,469,438,
245,469,437,
246,469,437,
247,469,438,
248,469,438,
249,469,437,
250,469,437,
251,469,438,
252,469,437,
253,469,437,
254,469,438,
255,469,438,
256,469,437,
257,469,438,
258,469,438,
259,469,437,
260,469,437,
261,470,437,
262,470,437,
263,469,437,
264,469,438,
265,469,438,
266,469,437,
267,469,437,
268,469,438,
269,469,437,
270,469,438,
271,469,438,
272,470,438,
273,469,438,
274,469,438,
275,470,439,
276,469,439,
277,469,442,
278,470,444,
279,470,446,
280,469,451,
281,469,456,
282,470,461,
283,469,467,
284,469,470,
285,469,475,
286,470,478,
287,469,479,
288,470,484,
289,470,489,
290,469,492,
291,469,497,
292,470,503,
293,469,507,
294,469,512,
295,470,517,
296,470,520,
297,469,526,
298,470,531,
299,470,537,
300,470,543,
301,469,549,
302,470,556,
303,470,564,
304,469,572,
305,470,578,
306,470,586,
307,469,588,
308,470,592,
309,470,595,
310,469,595,
311,469,595,
312,470,595,
313,470,595,
314,469,595,
315,470,595,
316,470,595,
317,469,595,
318,469,595,
319,470,595,
320,470,595,
321,470,595,
322,470,594,
323,470,595,
324,470,595,
325,470,595,
326,470,595,
327,469,595,
328,470,595,
329,470,595,
330,470,595,
331,470,595,
332,470,594,
333,470,595,
334,470,594,
335,470,594,
336,470,595,
337,470,595,
338,470,594,
339,470,595,
340,470,595,
341,470,594,
342,470,595,
343,470,595,
344,470,595,
345,470,594,
346,470,595,
347,470,595,
348,470,594,
349,470,594,
350,470,595,
351,470,594,
352,470,595,
353,471,595,
354,470,595,
355,470,594,
356,470,595,
357,470,595,
358,470,594,
359,471,595,
360,470,594,
361,470,594,
362,470,595,
363,471,595,
364,470,595,
365,470,595,
366,471,595,
367,471,595,
368,470,594,
369,470,595,
370,471,595,
371,470,594,
372,471,594,
373,471,595,
374,470,595,
375,470,594,
376,471,595,
377,471,595,
378,470,595,
379,470,594,
380,471,595,
381,471,595,
382,470,594,
383,471,595,
384,471,595,
385,470,594,
386,471,594,
387,471,595,
388,471,595,
389,470,594,
390,471,595,
391,471,595,
392,471,594,
393,471,595,
394,471,595,
395,470,594,
396,471,594,
397,471,595,
398,471,594,
399,470,595,
400,471,595,
401,471,595,
402,471,594,
403,470,595,
404,471,595,
405,471,594,
406,471,594,
407,471,595,
408,471,594,
409,471,594,
410,471,595,
411,471,595,
412,471,594,
413,471,595,
414,471,595,
415,471,595,
416,471,594,
417,471,595,
418,471,594,
419,471,594,
420,471,595,
421,471,595,
422,472,594,
423,471,595,
424,471,595,
425,471,594,
426,471,594,
427,471,595,
428,471,594,
429,471,594,
430,471,594,
431,471,595,
432,471,594,
433,471,595,
434,471,595,
435,471,595,
436,471,595,
437,471,595,
438,471,595,
439,471,594,
440,471,594,
441,471,594,
442,471,594,
443,471,595,
444,471,595,
445,472,594,
446,471,594,
447,471,595,
448,471,594,
449,472,594,
450,471,595,
451,471,595,
452,472,595,
453,471,594,
454,471,595,
455,472,594,
456,472,594,
457,471,594,
458,471,595,
459,472,595,
460,471,594,
461,472,595,
462,472,595,
463,471,594,
464,471,594,
465,472,594,
466,472,595,
467,471,595,
468,472,595,
469,472,595,
470,471,595,
471,471,595,
472,472,594,
473,472,595,
474,471,595,
475,472,594,
476,472,595,
477,471,594,
478,472,595,
479,472,594,
480,471,595,
481,471,595,
482,472,595,
483,472,595,
484,472,595,
485,472,594,
486,472,595,
487,472,595,
488,472,594,
489,472,594,
490,472,595,
491,472,594,
492,472,594,
493,472,595,
494,471,595,
495,472,594,
496,472,595,
497,471,595,
498,472,594,
499,472,595,
500,472,595,
501,472,594,
502,472,595,
503,472,595,
504,472,594,
505,472,594,
506,472,595,
507,472,595,
508,472,594,
509,472,595,
510,472,595,
511,472,595,
512,472,594,
513,472,594,
514,472,595,
515,472,594,
516,472,595,
517,472,595,
518,472,594,
519,472,595,
520,472,595,
521,472,594,
522,472,594,
523,472,595,
524,472,595,
525,472,594,
526,472,594,
527,473,595,
528,472,594,
529,472,595,
530,472,595,
531,472,594,
532,472,594,
533,473,595,
534,472,595,
535,472,594,
536,472,595,
537,472,595,
538,472,594,
