Time,Thermistor,Potentiometer
0,461,0
1,461,117
2,461,276
3,461,329
4,461,373
5,466,434
6,461,480
7,460,537
8,467,554
9,461,548
10,467,553
11,461,548
12,467,553
13,467,553
14,461,548
15,467,553
16,461,549
17,467,553
18,468,553
19,462,549
20,467,553
21,462,548
22,467,553
23,467,553
24,462,548
25,468,553
26,462,548
27,468,553
28,468,553
29,462,548
30,468,553
31,462,548
32,468,553
33,468,553
34,463,548
35,468,553
36,463,549
37,468,553
38,468,553
39,463,548
40,469,553
41,463,548
42,469,553
43,469,553
44,464,548
45,469,553
46,463,548
47,469,553
48,469,553
49,464,548
50,469,553
51,464,549
52,470,553
53,470,553
54,464,549
55,470,553
56,465,548
57,470,553
58,470,553
59,464,548
60,471,553
61,464,548
62,470,553
63,471,553
64,465,548
65,471,553
66,465,548
67,471,553
68,471,548
69,465,548
70,471,553
71,466,548
72,471,553
73,471,548
74,465,549
75,471,553
76,466,549
77,471,553
78,471,548
79,466,548
80,472,553
81,466,548
82,472,553
83,472,549
84,466,548
85,472,553
86,466,548
87,472,553
88,472,548
89,467,549
90,472,553
91,466,548
92,473,553
93,473,548
94,467,548
95,473,553
96,467,548
97,472,553
98,473,549
99,467,549
100,472,553
101,467,548
102,473,553
103,468,548
104,468,553
105,473,553
106,468,548
107,473,553
108,467,548
109,468,553
110,473,553
111,468,548
112,474,553
113,468,548
114,468,553
115,474,553
116,468,548
117,474,553
118,468,549
119,468,553
120,474,553
121,468,548
122,474,553
123,469,548
124,468,553
125,474,553
126,468,548
127,474,553
128,468,548
129,469,553
130,474,553
131,469,548
132,474,553
133,469,548
134,469,553
135,474,553
136,469,548
137,474,553
138,469,548
139,469,553
140,474,553
141,469,548
142,475,553
143,469,548
144,469,553
145,474,553
146,469,548
147,475,553
148,469,548
149,469,553
150,475,553
151,469,548
152,475,553
153,469,548
154,475,553
155,475,553
156,470,548
157,475,553
158,470,548
159,475,553
160,476,553
161,470,548
162,476,553
163,470,548
164,475,553
165,476,553
166,470,549
167,476,553
168,470,548
169,476,553
170,475,553
171,470,548
172,476,553
173,470,548
174,476,553
175,476,553
176,470,548
177,476,553
178,470,548
179,476,618
180,476,993
181,476,1023
182,477,1023
183,476,1023
184,476,1023
185,476,1023
186,477,1023
187,476,1023
188,476,1023
189,477,1023
190,477,1023
191,477,1023
192,477,1023
193,477,1023
194,477,1023
195,477,1023
196,477,1023
197,477,1023
198,477,1023
199,477,1023
200,478,1023
201,477,1023
202,478,1023
203,478,1023
204,478,1023
205,478,1023
206,478,1023
207,478,1023
208,478,1023
209,478,1023
210,478,1023
211,479,1023
212,478,1023
213,478,1023
214,479,1023
215,479,1023
216,479,1023
217,479,1023
218,479,1023
219,479,1023
220,479,1023
221,479,1023
222,479,1023
223,479,1023
224,479,1023
225,479,1023
226,479,1023
227,479,1023
228,479,1023
229,479,1023
230,479,1023
231,480,1023
232,479,1023
233,479,1023
234,479,1023
235,479,1023
236,479,1023
237,480,1023
238,480,1023
239,480,1023
240,480,1023
241,480,1023
242,480,1023
243,480,1023
244,480,1023
245,480,1023
246,480,1023
247,480,1023
248,481,1023
249,480,1023
250,481,1023
251,481,1023
252,481,1023
253,481,1023
254,481,1023
255,481,1023
256,481,1023
257,481,1023
258,481,1023
259,481,1023
260,481,1023
261,481,1023
262,481,1023
263,482,1023
264,481,1023
265,482,1023
266,482,1023
267,482,1023
268,482,1023
269,482,1023
270,482,1023
271,482,1023
272,482,1023
273,482,1023
274,482,1023
275,482,1023
276,482,1023
277,482,1023
278,482,1023
279,482,1023
280,483,1023
281,482,1023
282,483,1023
283,482,1023
284,483,1023
285,482,1023
286,483,1023
287,483,1023
288,483,1023
289,483,1023
290,483,1023
291,483,1023
292,483,1023
293,483,1023
294,483,1023
295,483,1023
296,483,1023
297,483,1023
298,483,1023
299,483,1023
300,483,1023
301,483,1023
302,483,1023
303,483,1023
304,484,1023
305,483,1023
306,483,1023
307,483,1023
308,483,1023
309,483,1023
310,483,1023
311,484,1023
312,483,1023
313,483,1023
314,484,1023
315,483,1023
316,484,1023
317,484,1023
318,484,1023
319,484,1023
320,484,1023
321,484,1023
322,484,1023
323,484,1023
324,484,1023
325,484,1023
326,484,1023
327,484,1023
328,484,1023
329,484,1023
330,484,1023
331,485,1023
332,485,1023
333,484,1023
334,485,1023
335,485,1023
336,485,1023
337,485,1023
338,485,1023
339,485,1023
340,485,1023
341,485,1023
342,485,1023
343,485,1023
344,485,1023
345,485,1023
346,485,1023
347,485,1023
348,485,1023
349,485,1023
350,485,1023
351,485,1023
352,485,1023
353,485,1023
354,485,1023
355,485,1023
356,486,1023
357,485,1023
358,486,1023
359,486,1023
360,486,1023
361,486,1023
362,486,1023
363,486,1023
364,486,1023
365,486,1023
366,486,1023
367,486,1023
368,486,1023
369,486,1023
370,486,1023
371,486,1023
372,486,1023
373,486,1023
374,486,1023
375,486,1023
376,486,1023
377,486,1023
378,486,1023
379,486,1023
380,487,1023
381,486,1023
382,487,1023
383,487,1023
384,487,1023
385,486,1023
386,487,1023
387,486,1023
388,487,1023
389,487,1023
390,487,1023
391,487,1023
392,487,1023
393,487,1023
394,487,1023
395,487,1023
396,487,1023
397,487,1023
398,487,1023
399,487,1023
400,487,1023
401,487,1023
402,487,1023
403,487,1023
404,487,1023
405,487,1023
406,487,1023
407,487,1023
408,488,1023
409,487,1023
410,488,1023
411,487,1023
412,487,1023
413,487,1023
414,487,1023
415,487,1023
416,487,1023
417,487,1023
418,487,1023
419,487,1023
420,487,1023
421,487,1023
422,487,1023
423,488,1023
424,488,1023
425,488,1023
426,488,1023
427,487,1023
428,488,1023
429,488,1023
430,488,1023
431,488,1023
432,488,1023
433,488,1023
434,488,1023
435,488,1023
436,488,1023
437,488,1023
438,488,1023
439,488,1023
440,488,1023
441,488,1023
442,488,1023
443,488,1023
444,488,1023
445,488,1023
446,488,1023
447,488,1023
448,488,1023
449,488,1023
450,488,1023
451,488,1023
452,488,1023
453,488,1023
454,488,1023
455,488,1023
456,488,1023
457,488,1023
458,488,1023
459,488,1023
460,488,1023
461,488,1023
462,488,1023
463,488,1023
464,488,1023
465,488,1023
466,488,1023
467,488,1023
468,488,1023
469,488,1023
470,488,1023
471,488,1023
472,488,1023
473,488,1023
474,488,1023
475,488,1023
476,488,1023
477,488,1023
478,488,1023
479,488,1023
480,488,1023
481,488,1023
482,489,1023
483,488,1023
484,488,1023
485,488,1023
486,488,1023
487,488,1023
488,488,1023
489,488,1023
490,488,1023
491,488,1023
492,488,1023
493,488,1023
494,488,1023
495,488,1023
496,489,1023
497,488,349
498,488,8
499,483,0
500,483,0
501,483,0
502,483,0
503,483,0
504,483,0
505,483,0
506,483,0
507,483,0
508,483,0
509,482,0
510,482,0
511,482,0
512,482,0
513,482,0
514,482,0
515,482,0
516,482,0
517,482,0
518,482,0
519,482,0
520,481,0
521,481,0
522,481,0
523,481,0
524,481,0
525,481,0
526,481,0
527,481,0
528,480,0
529,480,0
530,480,0
531,480,0
532,480,0
533,480,0
534,480,0
535,480,0
536,480,0
537,480,0
538,479,0
539,479,0
540,479,0
541,479,0
542,479,0
543,479,0
544,479,0
