Resistance(ohms),Temperature(K)
3039.96248,293
3028.08989,293.69
3016.26168,294.38
3004.47761,295.07
2992.73743,295.76
2992.73743,296.45
2992.73743,297.14
2992.73743,297.83
2992.73743,298.52
2981.04089,299.21
2992.73743,299.9
2992.73743,300.59
2981.04089,301.28
2981.04089,301.97
2981.04089,302.66
2981.04089,303.35
2981.04089,304.04
2969.38776,304.73
2969.38776,305.42
2957.77778,306.11
2946.21072,306.8
2923.20442,307.49
2900.36697,308.18
2866.42336,308.87
2844,309.56
2799.63899,310.25
2766.78636,310.94
2723.52941,311.63
2702.13144,312.32
2659.78836,313.01
2628.42105,313.7
2597.3822,314.39
2556.49913,315.08
2526.2069,315.77
2496.22642,316.46
2466.5529,317.15
2437.18166,317.84
2408.10811,318.53
2388.88889,319.22
2350.83612,319.91
2332,320.6
2303.9801,321.29
2285.45455,321.98
2257.89474,322.67
2239.67213,323.36
2212.56117,324.05
2185.71429,324.74
2159.12763,325.43
2141.54589,326.12
2106.72,326.81
2080.89172,327.5
2046.83544,328.19
2013.20755,328.88
1988.26291,329.57
1955.36547,330.26
1930.95975,330.95
1890.78341,331.64
1866.97248,332.33
1827.76935,333.02
1773.87387,333.71
1736.06557,334.4
1698.81657,335.09
1669.41176,335.78
1647.58419,336.47
1618.77729,337.16
1597.3913,337.85
1576.19048,338.54
1555.17241,339.23
1534.33476,339.92
1513.67521,340.61
1506.82788,341.3
1486.40227,341.99
1472.88136,342.68
1459.43662,343.37
1446.06742,344.06
1432.77311,344.75
1426.15385,345.44
1412.97071,346.13
1399.86092,346.82
1393.33333,347.51
1380.33241,348.2
1367.40331,348.89
1335.39095,349.58
1291.30435,350.27
1278.86179,350.96
1266.48649,351.65
1266.48649,352.34
1254.1779,353.03
1254.1779,353.72
1248.04845,354.41
1248.04845,355.1
1241.93548,355.79
1235.83893,356.48
1235.83893,357.17
1229.75871,357.86
1229.75871,358.55
1223.69478,359.24
1217.64706,359.93
1217.64706,360.62
1211.61549,361.31
1205.6,362
1199.60053,362.69
1199.60053,363.38
1193.61702,364.07
1193.61702,364.76
1187.6494,365.45
1181.69761,366.14
1181.69761,366.83
1175.76159,367.52
1169.84127,368.21
1169.84127,368.9
1163.93659,369.59
1158.04749,370.28
1158.04749,370.97
1152.17391,371.66
1152.17391,372.35
1146.31579,373.04
1140.47306,373.73
1140.47306,374.42
1134.64567,375.11
1128.83355,375.8
1123.03665,376.49
1123.03665,377.18
1123.03665,377.87
1117.2549,378.56
1117.2549,379.25
1111.48825,379.94
1111.48825,380.63
1111.48825,381.32
1105.73664,382.01
1100,382.7
1100,383.39
1094.27828,384.08
1094.27828,384.77
1088.57143,385.46
1088.57143,386.15
1082.87938,386.84
1077.20207,387.53
1071.53946,388.22
1071.53946,388.91
1065.89147,389.6
1065.89147,390.29
1060.25806,390.98
1060.25806,391.67
1054.63918,392.36
1049.03475,393.05
1049.03475,393.74
1049.03475,394.43
1043.44473,395.12
1049.03475,395.81
