Time,Brightness
2,77
3,78
4,78
5,79
6,80
7,81
8,80
9,79
10,77
11,77
12,78
13,79
14,80
15,80
16,80
17,79
18,77
19,76
20,76
21,78
22,78
23,80
24,80
25,79
26,77
27,75
28,76
29,77
30,78
31,79
32,84
33,89
34,90
35,85
36,88
37,92
38,96
39,92
40,95
41,97
42,100
43,93
44,90
45,94
46,99
47,96
48,95
49,98
50,101
51,97
52,92
53,95
54,100
55,100
56,97
57,100
58,102
59,102
60,95
61,96
62,99
63,103
64,139
65,174
66,191
67,211
68,200
69,218
70,223
71,239
72,225
73,241
74,242
75,254
76,236
77,248
78,247
79,261
80,246
81,256
82,255
83,267
84,257
85,257
86,258
87,267
88,269
89,263
90,276
91,277
92,286
93,266
94,277
95,276
96,287
97,323
98,383
99,398
100,430
101,414
102,439
103,435
104,459
105,437
106,459
107,449
108,471
109,451
110,465
111,458
112,474
113,472
114,473
115,484
116,484
117,496
118,477
119,490
120,485
121,498
122,477
123,493
124,485
125,499
126,475
127,490
128,479
129,496
130,484
131,530
132,526
133,555
134,536
135,555
136,547
137,565
138,563
139,562
140,570
141,568
142,579
143,561
144,574
145,567
146,580
147,561
148,575
149,565
150,579
151,559
152,577
153,566
154,584
155,560
156,579
157,564
158,584
159,563
160,577
161,566
162,581
163,579
164,576
165,585
166,582
167,592
168,574
169,586
170,579
171,591
172,571
173,586
174,576
175,591
176,567
177,583
178,571
179,588
180,564
181,582
182,567
183,587
184,567
185,579
186,570
187,583
188,583
189,578
190,587
191,583
192,594
193,575
194,587
195,579
196,592
197,573
198,587
199,578
200,593
201,569
202,585
203,572
204,590
205,565
206,584
207,568
208,588
209,571
210,580
211,575
212,584
213,586
214,579
215,590
216,584
217,595
218,575
219,588
220,580
221,593
222,572
223,587
224,577
225,592
226,568
227,584
228,570
229,588
230,559
231,554
232,532
233,541
234,525
235,523
236,522
237,524
238,529
239,513
240,524
241,517
242,527
243,505
244,517
245,510
246,522
247,500
248,514
249,504
250,519
251,494
252,509
253,496
254,514
255,491
256,506
257,495
258,512
259,503
260,502
261,505
262,506
263,515
264,453
265,431
266,407
267,399
268,367
269,368
270,357
271,362
272,336
273,345
274,338
275,346
276,322
277,329
278,322
279,334
280,320
281,322
282,320
283,329
284,325
285,314
286,320
287,321
288,328
289,308
290,318
291,314
292,322
293,298
294,307
295,304
296,315
297,284
298,250
299,231
300,218
301,202
302,185
303,179
304,177
305,173
306,162
307,162
308,160
309,159
310,146
311,145
312,145
313,149
314,140
315,138
316,139
317,141
318,132
319,126
320,128
321,133
322,129
323,126
324,127
325,131
326,127
327,119
328,121
329,124
330,125
331,119
332,116
333,112
334,108
335,103
336,100
337,100
338,100
339,100
340,100
341,98
342,96
343,94
344,91
345,92
346,92
347,93
348,93
349,93
350,92
351,90
352,88
353,87
354,88
355,88
356,89
357,90
358,89
359,87
360,85
361,84
362,85
363,86
364,86
365,87
366,87
367,86
368,84
369,82
370,83
371,83
372,85
373,85
374,86
375,85
376,83
377,80
378,81
379,82
380,82
381,83
382,84
383,83
384,82
385,80
386,80
387,80
388,81
389,82
390,83
391,83
392,82
393,80
394,78
395,79
396,80
397,81
398,82
399,82
400,81
401,80
402,78
403,78
404,79
405,80
406,81
407,82
408,81
409,80
410,78
411,77
412,79
413,79
414,80
415,81
416,81
417,80
418,78
419,76
420,77
421,78
422,79
423,80
424,81
425,80
426,78
427,76
428,77
429,77
430,78
431,79
432,85
433,88
434,92
435,86
436,88
437,91
438,97
439,93
440,93
441,96
442,100
443,95
444,90
445,94
446,99
447,98
448,95
449,98
450,101
451,99
452,93
453,95
454,99
455,102
456,98
457,101
458,102
459,104
460,96
461,95
462,98
463,103
464,127
465,168
466,183
467,206
468,194
469,212
470,216
471,233
472,220
473,235
474,235
475,249
476,236
477,242
478,242
479,255
480,251
481,250
482,256
483,261
484,266
485,251
486,261
487,261
488,271
489,256
490,271
491,270
492,280
493,259
494,270
495,268
496,280
497,295
498,368
499,382
500,420
501,405
502,430
503,425
504,451
505,442
506,451
507,454
508,464
509,470
510,458
511,470
512,467
513,480
514,465
515,482
516,476
517,491
518,469
519,484
520,476
521,492
522,468
523,486
524,476
525,493
526,469
527,484
528,471
529,491
530,479
531,519
532,531
533,546
534,557
535,547
536,561
537,557
538,571
539,553
540,568
541,560
542,574
543,553
544,568
545,558
546,574
547,552
548,569
549,555
550,573
551,549
552,570
553,557
554,577
555,566
556,572
557,573
558,577
559,584
560,569
561,580
562,574
563,586
564,568
565,582
566,573
567,587
568,565
569,579
570,569
571,585
572,561
573,579
574,565
575,584
576,560
577,576
578,563
579,581
580,572
581,575
582,577
583,579
584,587
585,571
586,582
587,575
588,587
589,570
590,584
